Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
mai/17;SENAT;73.471.963/0001-47;24113506
mai/17;SESCOOP;03.087.543/0001-86;26730534
mai/17;SDR;420013 / 00001;19268703
mai/17;APEX-BR;05.507.500/0001-38;36282503
mai/17;ABDI;07.200.966/0001-11;5923773
jun/17;FNDE;153173 / 15253;1568881986
jun/17;INCRA;373001 / 37201;112028525
jun/17;SENAI;33.564.543/0001-90;114823853
jun/17;SESI;33.641.358/0001-52;163229045
jun/17;SENAC;33.469.172/0001-68;214256135
jun/17;SESC;33.469.164/0001-11;388141110
jun/17;SEBRAE;00.330.854/0001-45;253382084
jun/17;EMBRATUR;35.842.428/0001-66;0
jun/17;DPC;852001 / 00001;12288117
jun/17;ANAC;122002 / 00001;18744632
jun/17;SENAR;37.138.245/0001-90;69562429
jun/17;SEST;73.471.989/0001-95;38365845
jun/17;SENAT;73.471.963/0001-47;24201400
jun/17;SESCOOP;03.087.543/0001-86;27312313
jun/17;SDR;420013 / 00001;19757997
jun/17;APEX-BR;05.507.500/0001-38;36932210
jun/17;ABDI;07.200.966/0001-11;6029862
jul/17;FNDE;153173 / 15253;1545570493
jul/17;INCRA;373001 / 37201;110133733
jul/17;SENAI;33.564.543/0001-90;113041104
jul/17;SESI;33.641.358/0001-52;161742520
jul/17;SENAC;33.469.172/0001-68;210357945
jul/17;SESC;33.469.164/0001-11;381612994
jul/17;SEBRAE;00.330.854/0001-45;250294029
jul/17;EMBRATUR;35.842.428/0001-66;0
jul/17;DPC;852001 / 00001;12223731
jul/17;ANAC;122002 / 00001;18195489
jul/17;SENAR;37.138.245/0001-90;79876372
jul/17;SEST;73.471.989/0001-95;39031391
jul/17;SENAT;73.471.963/0001-47;24552802
jul/17;SESCOOP;03.087.543/0001-86;27176756
jul/17;SDR;420013 / 00001;19424430
jul/17;APEX-BR;05.507.500/0001-38;36482985
jul/17;ABDI;07.200.966/0001-11;5956499
ago/17;FNDE;153173 / 15253;1556726519
ago/17;INCRA;373001 / 37201;111266218
ago/17;SENAI;33.564.543/0001-90;113931222
ago/17;SESI;33.641.358/0001-52;162890307
ago/17;SENAC;33.469.172/0001-68;211928562
